,id_school,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
41,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9757,30.5533,1000.0,4.3279
42,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9678,30.5405,7763.0,4.3428
43,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9579,30.531,1000.0,4.5299
44,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,EVDSL,-1.8361,30.3404,,4.7246
45,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,ADSL,-1.7432,30.3574,,6.7823
46,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,ADSL,-1.7227,30.4191,,10.6443
47,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,cellular_tower,-1.7835,30.3902,19304.0,3.3509
48,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,cellular_tower,-1.7706,30.3825,1000.0,4.0034
49,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,cellular_tower,-1.772,30.3858,1000.0,4.0343
50,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,cellular_tower,-1.775,30.3905,1002.0,4.0571
51,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.8033,30.3675,cellular_tower,-1.7765,30.3933,1000.0,4.1382
52,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,FTTH,-2.2775,30.7708,,4.5755
53,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,EVDSL,-2.2005,30.8879,,10.9977
54,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,EVDSL,-2.3456,30.8674,,12.4162
55,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,FTTC,-2.3279,30.7116,,13.2097
56,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,cellular_tower,-2.2816,30.7374,1000.0,8.0636
57,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,cellular_tower,-2.2867,30.7372,1267.0,8.3202
58,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,cellular_tower,-2.3003,30.744,2187.0,8.4857
59,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,cellular_tower,-2.2897,30.7368,2139.0,8.5128
60,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.2534,30.8043,cellular_tower,-2.2921,30.7369,4324.0,8.6328
61,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,EVDSL,-2.6266,29.8741,,5.9777
62,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,ADSL,-2.6563,29.904,,6.1327
63,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,FTTH,-2.7076,29.9441,,10.7852
64,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.624,29.7319,3047.0,14.5717
65,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5803,29.7584,1000.0,14.8941
66,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5488,29.8041,6423.0,15.1093
67,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5827,29.7531,3429.0,15.1286
68,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5797,29.7529,1719.0,15.3749
69,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,EVDSL,-2.5327,29.4246,,6.5363
70,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,EVDSL,-2.4705,29.5177,,8.5956
71,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,EVDSL,-2.5006,29.5734,,10.9421
72,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,FTTH,-2.6242,29.4323,,10.9684
73,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,ADSL,-2.5934,29.5817,,12.4839
74,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5144,29.4647,1000.0,3.4656
75,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5144,29.4647,1000.0,3.4656
76,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5134,29.466,4716.0,3.4755
77,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5077,29.4843,4319.0,3.5521
78,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5162,29.4608,1000.0,3.5889
79,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,FTTH,-1.2463,30.5848,,11.8407
80,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,FTTH,-1.2942,30.3607,,13.8346
