,id_school,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
34,3a98b154-5ca7-30c3-81f8-55323bc4513c,ECD KIBIRIZI,-2.442857981,29.56196975708008,cellular_tower,-2.4719,29.5749,2408,3.534394520942182
35,3a98b154-5ca7-30c3-81f8-55323bc4513c,ECD KIBIRIZI,-2.442857981,29.56196975708008,cellular_tower,-2.4704,29.5779,1000,3.537098560155052
36,3a98b154-5ca7-30c3-81f8-55323bc4513c,ECD KIBIRIZI,-2.442857981,29.56196975708008,cellular_tower,-2.474,29.5708,2381,3.5991018110042896
37,3a98b154-5ca7-30c3-81f8-55323bc4513c,ECD KIBIRIZI,-2.442857981,29.56196975708008,cellular_tower,-2.4751,29.5705,1292,3.708278098389821
38,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,EVDSL,-1.984926,30.620635,,7.795168097548143
39,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,cellular_tower,-1.9614,30.538,1000,4.074531765403863
40,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,cellular_tower,-1.9668,30.5422,1585,4.132760140250185
41,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,cellular_tower,-1.9757,30.5533,1000,4.327902135528838
42,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,cellular_tower,-1.9678,30.5405,7763,4.342813644303685
43,3aea9f2f-d75d-309f-ae1c-2ab123e091d6,EP NYARUNAZI,-1.939383388,30.56730842590332,cellular_tower,-1.9579,30.531,1000,4.529937764650121
44,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,EVDSL,-1.836092,30.340428,,4.724567427680069
45,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,ADSL,-1.743185,30.357368,,6.782300337536848
46,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,ADSL,-1.722672,30.419074,,10.644283264670035
47,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,cellular_tower,-1.7835,30.3902,19304,3.350864409829967
48,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,cellular_tower,-1.7706,30.3825,1000,4.0033636333210385
49,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,cellular_tower,-1.772,30.3858,1000,4.034265608421611
50,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,cellular_tower,-1.775,30.3905,1002,4.057063400185567
51,3b1ac2e4-7d5c-37b0-bb03-528cf8a6daec,BUSHENYI PS,-1.803333044,30.36750030517578,cellular_tower,-1.7765,30.3933,1000,4.138165316622447
52,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,FTTH,-2.277456,30.77084,,4.575525012217818
53,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,EVDSL,-2.200465,30.887864,,10.997728215503512
54,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,EVDSL,-2.345554,30.867443,,12.416163519403877
55,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,FTTC,-2.327869,30.711614,,13.209673960687278
56,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,cellular_tower,-2.2816,30.7374,1000,8.063613151930172
57,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,cellular_tower,-2.2867,30.7372,1267,8.320182536205104
58,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,cellular_tower,-2.3003,30.744,2187,8.485659782316
59,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,cellular_tower,-2.2897,30.7368,2139,8.512841734687507
60,3b79cdf9-11aa-323f-bb39-96d87af0a43c,EP KAMOMBO,-2.253439903,30.804279327392575,cellular_tower,-2.2921,30.7369,4324,8.632792562587925
61,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,EVDSL,-2.626621,29.874057,,5.977651904680251
62,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,ADSL,-2.656267,29.904013,,6.132725301270268
63,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,FTTH,-2.707603,29.944133,,10.785158687524406
64,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,cellular_tower,-2.624,29.7319,3047,14.57171808971864
65,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,cellular_tower,-2.5803,29.7584,1000,14.894127080412941
66,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,cellular_tower,-2.5488,29.8041,6423,15.109299466074441
67,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,cellular_tower,-2.5827,29.7531,3429,15.128636492313095
68,3c3db764-3cdc-388f-9242-95a45b6ffab4,EP MUGOMBWA,-2.675829887,29.85239028930664,cellular_tower,-2.5797,29.7529,1719,15.37487095628019
69,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.539619923,29.483030319213867,EVDSL,-2.532707,29.424599,,6.536259044657544
70,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.539619923,29.483030319213867,EVDSL,-2.470493,29.517662,,8.595586092827968
71,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.539619923,29.483030319213867,EVDSL,-2.500579,29.573447,,10.942148071606887
72,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.539619923,29.483030319213867,FTTH,-2.62425,29.432305,,10.968400754164296
73,3c42db67-d0c1-3836-8050-fb43fa326b1d,E.P KIMINA,-2.539619923,29.483030319213867,ADSL,-2.593421,29.581669,,12.48389503051884
