,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
65,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5803,29.7584,1000.0,14.8941
66,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5488,29.8041,6423.0,15.1093
67,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5827,29.7531,3429.0,15.1286
68,EP MUGOMBWA,-2.6758,29.8524,cellular_tower,-2.5797,29.7529,1719.0,15.3749
69,E.P KIMINA,-2.5396,29.483,EVDSL,-2.5327,29.4246,,6.5363
70,E.P KIMINA,-2.5396,29.483,EVDSL,-2.4705,29.5177,,8.5956
71,E.P KIMINA,-2.5396,29.483,EVDSL,-2.5006,29.5734,,10.9421
72,E.P KIMINA,-2.5396,29.483,FTTH,-2.6242,29.4323,,10.9684
73,E.P KIMINA,-2.5396,29.483,ADSL,-2.5934,29.5817,,12.4839
74,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5144,29.4647,1000.0,3.4656
75,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5144,29.4647,1000.0,3.4656
76,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5134,29.466,4716.0,3.4755
77,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5077,29.4843,4319.0,3.5521
78,E.P KIMINA,-2.5396,29.483,cellular_tower,-2.5162,29.4608,1000.0,3.5889
79,GS KANOMBE LL,-1.2544,30.4786,FTTH,-1.2463,30.5848,,11.8407
80,GS KANOMBE LL,-1.2544,30.4786,FTTH,-1.2942,30.3607,,13.8346
81,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2441,30.4117,4096.0,7.5205
82,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2427,30.4115,5615.0,7.5675
83,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2385,30.412,7883.0,7.6073
84,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.269,30.4117,1000.0,7.6098
85,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2652,30.4099,16752.0,7.7283
86,GS NYABUBARE,-2.2428,29.3678,,,,,17.8745
87,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1948,29.2797,1046.0,11.1514
88,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1948,29.2797,1046.0,11.1514
89,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
90,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
91,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
92,EP GITARAMUKA,-2.201,30.146,EVDSL,-2.2442,30.0976,,7.2085
93,EP GITARAMUKA,-2.201,30.146,FTTH,-2.1114,30.1695,,10.3034
94,EP GITARAMUKA,-2.201,30.146,EVDSL,-2.0894,30.1204,,12.7355
95,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2045,30.1475,5698.0,0.4234
96,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2037,30.1419,1000.0,0.5456
97,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.207,30.1456,1000.0,0.6687
98,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2116,30.1433,2331.0,1.2162
99,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2135,30.1507,2740.0,1.4848
100,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9524,30.0638,3517.0,0.3218
